Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
digital-roadmap-workshop,,,,,,,,,Global Enterprise Roadmap (3 Days),,,,,,,,DR_SERVICE_003,0.0,,deny,manual,8000.00,,false,true,,,,,,,,,g,,,
digital-roadmap-workshop,,,,,,,,,Web3 Transformation Roadmap,,,,,,,,DR_SERVICE_004,0.0,,deny,manual,6000.00,,false,true,,,,,,,,,g,,,
technology-assessment,Technology Assessment,<p>Complete technology stack evaluation and modernization recommendations including architecture review legacy system analysis and digital infrastructure optimization.</p>,Maker Software LLC,Services > Professional Services > IT & Technology,Services,"Technology, Assessment, Audit, Modernization",true,Service Type,Basic Tech Audit,,,,,,,,TA_SERVICE_001,0.0,,deny,manual,1200.00,,false,true,,https://images.unsplash.com/photo-1518186285589-2f7649de83e0?w=800,1,"Technology Assessment",false,Technology Assessment | Maker Software LLC,Complete technology stack evaluation and modernization recommendations,,g,,,active
technology-assessment,,,,,,,,,Comprehensive Assessment,,,,,,,,TA_SERVICE_002,0.0,,deny,manual,2500.00,,false,true,,,,,,,,,g,,,
technology-assessment,,,,,,,,,Enterprise Architecture Review,,,,,,,,TA_SERVICE_003,0.0,,deny,manual,5000.00,,false,true,,,,,,,,,g,,,
technology-assessment,,,,,,,,,Legacy System Analysis,,,,,,,,TA_SERVICE_004,0.0,,deny,manual,3500.00,,false,true,,,,,,,,,g,,,
custom-software-development,Custom Software Development,<p>Full-stack development services creating custom applications APIs and digital solutions using modern technologies with scalability and performance optimization for global clients.</p>,Maker Software LLC,Services > Professional Services > IT & Technology,Services,"Development, Software, Custom, Programming",true,Service Type,Feature Development Sprint,,,,,,,,CD_SERVICE_001,0.0,,deny,manual,1500.00,,false,true,,https://images.unsplash.com/photo-1461749280684-dccba630e2f6?w=800,1,"Custom Software Development",false,Custom Software Development | Maker Software LLC,Full-stack development services with modern technologies and global delivery,,g,,,active
custom-software-development,,,,,,,,,Feature Suite (3-5 Features),,,,,,,,CD_SERVICE_002,0.0,,deny,manual,3500.00,,false,true,,,,,,,,,g,,,
custom-software-development,,,,,,,,,Complex Feature Development,,,,,,,,CD_SERVICE_003,0.0,,deny,manual,5000.00,,false,true,,,,,,,,,g,,,
custom-software-development,,,,,,,,,API Feature Integration,,,,,,,,CD_SERVICE_004,0.0,,deny,manual,2500.00,,false,true,,,,,,,,,g,,,
api-development,API Development,<p>Custom API creation with comprehensive documentation testing and integration support including REST GraphQL and enterprise API gateway solutions.</p>,Maker Software LLC,Services > Professional Services > IT & Technology,Services,"API, Development, Integration, Backend",true,Service Type,REST API Development,,,,,,,,API_SERVICE_001,0.0,,deny,manual,3000.00,,false,true,,https://images.unsplash.com/photo-1558494949-ef010cbdcc31?w=800,1,"API Development Services",false,API Development | Maker Software LLC,Custom API creation with documentation and testing for seamless integration,,g,,,active
api-development,,,,,,,,,GraphQL API Development,,,,,,,,API_SERVICE_002,0.0,,deny,manual,4500.00,,false,true,,,,,,,,,g,,,
api-development,,,,,,,,,Enterprise API Gateway,,,,,,,,API_SERVICE_003,0.0,,deny,manual,8000.00,,false,true,,,,,,,,,g,,,
api-development,,,,,,,,,Microservices API Suite,,,,,,,,API_SERVICE_004,0.0,,deny,manual,6500.00,,false,true,,,,,,,,,g,,,
