Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
security-compliance,Security & Compliance,<p>Comprehensive cybersecurity and compliance services protecting digital assets and ensuring regulatory compliance including professional security assessment implementation and monitoring.</p>,Maker Software LLC,Services > Professional Services > IT & Technology,Services,"Security, Compliance, Cybersecurity, Protection",true,Service Type,Security Monitoring Service,,,,,,,,SC_SERVICE_001,0.0,,deny,manual,1200.00,,false,true,,https://images.unsplash.com/photo-1555949963-aa79dcee981c?w=800,1,"Security & Compliance Services",false,Security & Compliance | Maker Software LLC,Comprehensive cybersecurity and compliance services for digital asset protection,,g,,,active
security-compliance,,,,,,,,,Advanced Threat Detection,,,,,,,,SC_SERVICE_002,0.0,,deny,manual,2000.00,,false,true,,,,,,,,,g,,,
security-compliance,,,,,,,,,Enterprise Security Operations,,,,,,,,SC_SERVICE_003,0.0,,deny,manual,3000.00,,false,true,,,,,,,,,g,,,
security-compliance,,,,,,,,,24/7 SOC Services,,,,,,,,SC_SERVICE_004,0.0,,deny,manual,2500.00,,false,true,,,,,,,,,g,,,
cybersecurity-audit,Cybersecurity Audit,<p>Complete security assessment with vulnerability analysis and recommendations including basic comprehensive compliance and enterprise security audit options for thorough security evaluation.</p>,Maker Software LLC,Services > Professional Services > IT & Technology,Services,"Audit, Security Assessment, Vulnerability, Analysis",true,Service Type,Basic Security Assessment,,,,,,,,CA_SERVICE_001,0.0,,deny,manual,3000.00,,false,true,,https://images.unsplash.com/photo-1563013544-824ae1b704d3?w=800,1,"Cybersecurity Audit Services",false,Cybersecurity Audit | Maker Software LLC,Complete security assessment with vulnerability analysis and recommendations,,g,,,active
cybersecurity-audit,,,,,,,,,Comprehensive Security Audit,,,,,,,,CA_SERVICE_002,0.0,,deny,manual,5000.00,,false,true,,,,,,,,,g,,,
cybersecurity-audit,,,,,,,,,Compliance Security Review,,,,,,,,CA_SERVICE_003,0.0,,deny,manual,6500.00,,false,true,,,,,,,,,g,,,
cybersecurity-audit,,,,,,,,,Enterprise Security Audit,,,,,,,,CA_SERVICE_004,0.0,,deny,manual,8000.00,,false,true,,,,,,,,,g,,,
penetration-testing,Penetration Testing,<p>Professional penetration testing with detailed security reporting including web application network enterprise and mobile app security testing for comprehensive vulnerability assessment.</p>,Maker Software LLC,Services > Professional Services > IT & Technology,Services,"Penetration Testing, Security Testing, Vulnerability",true,Service Type,Web Application Pen Test,,,,,,,,PT_SERVICE_001,0.0,,deny,manual,5000.00,,false,true,,https://images.unsplash.com/photo-1550751827-4bd374c3f58b?w=800,1,"Penetration Testing Services",false,Penetration Testing | Maker Software LLC,Professional penetration testing with detailed security reporting,,g,,,active
penetration-testing,,,,,,,,,Network Penetration Testing,,,,,,,,PT_SERVICE_002,0.0,,deny,manual,7000.00,,false,true,,,,,,,,,g,,,
penetration-testing,,,,,,,,,Enterprise Pen Test Suite,,,,,,,,PT_SERVICE_003,0.0,,deny,manual,10000.00,,false,true,,,,,,,,,g,,,
penetration-testing,,,,,,,,,Mobile App Security Testing,,,,,,,,PT_SERVICE_004,0.0,,deny,manual,6000.00,,false,true,,,,,,,,,g,,,
